Day,Month,Year,Hour,Minute,Second,LON,LAT,DISTANCE_KM,SIGNAL,MULTIPLICITY,AXIS,ECCENTRICITY,ELLIPSE,CHISQR
1,7,2020,14,28,16.92065,-112.041,42.911,239.1476,-15.0,0,0,0,107,0
1,7,2020,14,28,16.92065,-112.041,42.911,239.1476,-15.0,0,0,0,107,0
1,7,2020,14,53,47.988028,-112.691,42.39,192.8531,-11.0,0,0,0,96,0
1,7,2020,14,53,47.988028,-112.691,42.39,192.8531,-11.0,0,0,0,96,0
1,7,2020,14,55,56.461867,-112.716,42.395,194.1024,-18.0,0,0,0,-108,0
1,7,2020,14,55,56.461867,-112.716,42.395,194.1024,-18.0,0,0,0,-108,0
1,7,2020,14,55,56.489539,-112.717,42.395,194.132,-7.0,0,0,0,-91,0
1,7,2020,14,55,56.489539,-112.717,42.395,194.132,-7.0,0,0,0,-91,0
1,7,2020,14,55,56.521907,-112.717,42.396,194.2357,-9.0,0,0,0,-80,0
1,7,2020,14,55,56.521907,-112.717,42.396,194.2357,-9.0,0,0,0,-80,0
2,7,2020,2,32,36.64456,-113.668,42.278,224.4785,-27.0,0,0,0,-104,1
2,7,2020,2,32,36.64456,-113.668,42.278,224.4785,-27.0,0,0,0,-104,1
2,7,2020,2,32,36.703226,-113.658,42.271,223.3488,-29.0,0,0,0,-113,0
2,7,2020,2,32,36.703226,-113.658,42.271,223.3488,-29.0,0,0,0,-113,0
2,7,2020,2,32,36.76209,-113.664,42.25,221.9522,-21.0,0,0,0,-103,0
2,7,2020,2,32,36.76209,-113.664,42.25,221.9522,-21.0,0,0,0,-103,0
2,7,2020,2,34,54.627009,-113.632,42.284,223.0055,-45.0,0,0,0,-126,0
2,7,2020,2,34,54.627009,-113.632,42.284,223.0055,-45.0,0,0,0,-126,0
2,7,2020,2,34,54.672609,-113.642,42.276,222.8845,-19.0,0,0,0,-101,0
2,7,2020,2,34,54.672609,-113.642,42.276,222.8845,-19.0,0,0,0,-101,0
2,7,2020,2,34,54.734967,-113.615,42.269,220.8282,-23.0,0,0,0,-112,0
